BIC_Code,BIC_Description,ANZSIC_Code,ANZSIC_Description
C133385,Sleeping bag manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133390,Soft furnishing manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133395,Tent manufacturing,1333,Cut and Sewn Textile Product Manufacturing
C133410,Badge manufacturing - cloth,1334,Textile Finishing and Other Textile Product Manufacturing
C133420,Dyeing service,1334,Textile Finishing and Other Textile Product Manufacturing
C133430,Fabric manufacturing - embroidered,1334,Textile Finishing and Other Textile Product Manufacturing
C133440,Fabric manufacturing nec,1334,Textile Finishing and Other Textile Product Manufacturing
C133450,"Label woven cloth, manufacturing",1334,Textile Finishing and Other Textile Product Manufacturing
C133455,"Label, printed cloth, manufacturing",1334,Textile Finishing and Other Textile Product Manufacturing
C133460,Textile finishing,1334,Textile Finishing and Other Textile Product Manufacturing
C133470,Textile printing or dyeing (on commission or fee basis),1334,Textile Finishing and Other Textile Product Manufacturing
C133480,Textile product manufacturing nec,1334,Textile Finishing and Other Textile Product Manufacturing
C133490,Underfelt manufacturing,1334,Textile Finishing and Other Textile Product Manufacturing
C134010,Cardigan and pullover manufacturing,1340,Knitted Product Manufacturing
C134020,"Handknitting - cardigan, pullover or similar",1340,Knitted Product Manufacturing
C134025,"Handknitting - other than cardigan, pullover or similar",1340,Knitted Product Manufacturing
C134030,Hosiery manufacturing,1340,Knitted Product Manufacturing
C134040,Knitted clothing manufacturing (from fabric knitted at the same unit),1340,Knitted Product Manufacturing
C134045,Knitted fabric manufacturing,1340,Knitted Product Manufacturing
C134050,Pantihose manufacturing,1340,Knitted Product Manufacturing
C134060,Sock manufacturing,1340,Knitted Product Manufacturing
C134070,Stocking manufacturing,1340,Knitted Product Manufacturing
C134080,Tight manufacturing,1340,Knitted Product Manufacturing
C135103,Clothing accessories manufacturing nec,1351,Clothing Manufacturing
C135107,Clothing manufacturing - leather,1351,Clothing Manufacturing
C135110,Clothing manufacturing - mens and boys,1351,Clothing Manufacturing
C135113,"Clothing manufacturing - sleepwear, underwear and infant clothing",1351,Clothing Manufacturing
C135117,Clothing manufacturing - waterproof,1351,Clothing Manufacturing
C135120,Clothing manufacturing - womens and girls,1351,Clothing Manufacturing
C135123,Clothing manufacturing nec,1351,Clothing Manufacturing
C135127,Custom tailoring - womens and girls,1351,Clothing Manufacturing
C135130,Custom tailoring (mens & boys),1351,Clothing Manufacturing
C135133,Dressmaking - custom tailoring,1351,Clothing Manufacturing
C135137,Foundation garment manufacturing,1351,Clothing Manufacturing
C135140,Hat manufacturing,1351,Clothing Manufacturing
C135143,Helmet manufacturing,1351,Clothing Manufacturing
C135147,Infant clothing manufacturing (except from fabric knitted at the same unit),1351,Clothing Manufacturing
C135150,Jeans manufacturing - mens or boys,1351,Clothing Manufacturing
C135153,Jeans manufacturing - womens or girls,1351,Clothing Manufacturing
C135157,Leather clothing manufacturing,1351,Clothing Manufacturing
C135160,Lingerie manufacturing,1351,Clothing Manufacturing
C135163,Male and female clothing manufacturing - similar quantities of each,1351,Clothing Manufacturing
C135167,Menswear manufacturing,1351,Clothing Manufacturing
C135170,Sleepwear manufacturing (except from fabric knitted at the same unit),1351,Clothing Manufacturing
C135173,Suit manufacturing - mens or boys,1351,Clothing Manufacturing
C135177,Suits manufacturing - womens or girls,1351,Clothing Manufacturing
C135180,Swimwear manufacturing (except from fabric knitted at the same unit),1351,Clothing Manufacturing
C135183,Tie manufacturing,1351,Clothing Manufacturing
C135187,Underwear manufacturing (except from fabric knitted at the same unit),1351,Clothing Manufacturing
C135190,Uniform manufacturing - mens or boys,1351,Clothing Manufacturing
C135193,Uniform manufacturing - womens or girls,1351,Clothing Manufacturing
C135196,Unisex clothing manufacturing,1351,Clothing Manufacturing
C135198,Wet suit manufacturing,1351,Clothing Manufacturing
C135210,Boot manufacturing,1352,Footwear Manufacturing
C135220,Footwear component manufacturing,1352,Footwear Manufacturing
C135230,Footwear manufacturing,1352,Footwear Manufacturing
C135240,Sandal manufacturing,1352,Footwear Manufacturing
C135250,Shoe manufacturing,1352,Footwear Manufacturing
C135260,Thong manufacturing - rubber,1352,Footwear Manufacturing
C141110,Bark manufacturing - ground,1411,Log Sawmilling
C141120,Logyard operation in conjunction with a processing plant,1411,Log Sawmilling
C141130,Saw mill operation,1411,Log Sawmilling
C141140,Timber manufacturing - rough sawn,1411,Log Sawmilling
C141210,Woodchip manufacturing,1412,Wood Chipping
C141305,Chemical preservation of timber,1413,Timber Resawing and Dressing
C141310,Dressed timber or moulding manufacturing,1413,Timber Resawing and Dressing
C141320,"Timber manufacturing - building, dressed",1413,Timber Resawing and Dressing
C141325,Timber drying,1413,Timber Resawing and Dressing
C149110,Garage manufacturing - prefabricated nec,1491,Prefabricated Wooden Building Manufacturing
C149120,Kitset home manufacturing,1491,Prefabricated Wooden Building Manufacturing
C149130,Prefabricated building manufacturing nec,1491,Prefabricated Wooden Building Manufacturing
C149140,Transportable home manufacturing,1491,Prefabricated Wooden Building Manufacturing
C149210,"Cabinet making, joinery - except furniture and on-site fabrication of built in furniture or other joinery",1492,Wooden Structural Fitting and Component Manufacturing
C149220,"Carpentry, joinery - except furniture and on-site fabrication of built-in furniture or other joinery",1492,Wooden Structural Fitting and Component Manufacturing
C149230,Door or window manufacturing - wooden,1492,Wooden Structural Fitting and Component Manufacturing
C149240,Roof truss manufacturing - wooden,1492,Wooden Structural Fitting and Component Manufacturing
C149250,Structural fitting manufacturing - wooden,1492,Wooden Structural Fitting and Component Manufacturing
C149260,Wooden structural component manufacturing,1492,Wooden Structural Fitting and Component Manufacturing
C149305,Laminated veneer lumber (LVL) manufacturing,1493,Veneer and Plywood Manufacturing
C149310,Plywood manufacturing,1493,Veneer and Plywood Manufacturing
C149320,Veneer or veneer sheet manufacturing - wooden,1493,Veneer and Plywood Manufacturing
C149410,Chipboard manufacturing,1494,Reconstituted Wood Product Manufacturing
C149420,Fabricated wood manufacturing,1494,Reconstituted Wood Product Manufacturing
C149430,Hardboard manufacturing,1494,Reconstituted Wood Product Manufacturing
C149440,Particle board manufacturing,1494,Reconstituted Wood Product Manufacturing
C149450,Wallboard (other) manufacturing,1494,Reconstituted Wood Product Manufacturing
C149910,Barrel manufacturing - wooden,1499,Other Wood Product Manufacturing n.e.c.
C149915,Blind or shutter manufacturing - wooden,1499,Other Wood Product Manufacturing n.e.c.
C149920,Containers (wooden) manufacturing,1499,Other Wood Product Manufacturing n.e.c.
C149930,Frame manufacturing - wooden picture or mirror,1499,Other Wood Product Manufacturing n.e.c.
C149940,Hot tub (wooden) manufacturing,1499,Other Wood Product Manufacturing n.e.c.
C149950,Picture framing service,1499,Other Wood Product Manufacturing n.e.c.
C149960,Wood product manufacturing nec,1499,Other Wood Product Manufacturing n.e.c.
C151010,Cardboard manufacturing,1510,"Pulp, Paper and Paperboard Manufacturing"
C151020,Newsprint manufacturing,1510,"Pulp, Paper and Paperboard Manufacturing"
C151030,Paper manufacturing nec,1510,"Pulp, Paper and Paperboard Manufacturing"
C151040,Paper pulp manufacturing,1510,"Pulp, Paper and Paperboard Manufacturing"
C151050,Paperboard manufacturing nec,1510,"Pulp, Paper and Paperboard Manufacturing"
C151060,Wood pulp manufacturing,1510,"Pulp, Paper and Paperboard Manufacturing"
C152110,Container manufacturing - corrugated paperboard,1521,Corrugated Paperboard and Paperboard Container Manufacturing
C152120,Container manufacturing - solid paperboard,1521,Corrugated Paperboard and Paperboard Container Manufacturing
C152130,Corrugated paperboard sheeting manufacturing,1521,Corrugated Paperboard and Paperboard Container Manufacturing
C152210,Bag manufacturing - paper,1522,Paper Bag Manufacturing
C152220,Paper bag and sack manufacturing,1522,Paper Bag Manufacturing
C152310,Album manufacturing,1523,Paper Stationery Manufacturing
C152320,Calendar manufacturing,1523,Paper Stationery Manufacturing
C152330,Greeting card manufacturing,1523,Paper Stationery Manufacturing
C152340,Paper stationery manufacturing - except commission printing,1523,Paper Stationery Manufacturing
C152410,Baby napkin manufacturing - disposable,1524,Sanitary Paper Product Manufacturing
C152420,Sanitary napkin manufacturing,1524,Sanitary Paper Product Manufacturing
C152430,Tampon manufacturing,1524,Sanitary Paper Product Manufacturing
C152440,Tissue or sanitary paper manufacturing,1524,Sanitary Paper Product Manufacturing
C152450,Toilet paper rolls manufacturing,1524,Sanitary Paper Product Manufacturing
C152910,Adhesive tape manufacturing,1529,Other Converted Paper Product Manufacturing
C152920,Paper product manufacturing nec,1529,Other Converted Paper Product Manufacturing
C152930,Wallpaper manufacturing,1529,Other Converted Paper Product Manufacturing
C161110,Commercial printing,1611,Printing
C161120,Newspaper printing,1611,Printing
C161130,Photocopying service,1611,Printing
C161140,Printing,1611,Printing
C161150,Screen printing,1611,Printing
C161160,"Stationery, paper, printing",1611,Printing
C161210,Artwork preparation service,1612,Printing Support Services
C161220,Bookbinding,1612,Printing Support Services
C161230,Laser engraving,1612,Printing Support Services
C161240,Phototypesetting and layout service,1612,Printing Support Services
C161250,Platemaking film service,1612,Printing Support Services
C161255,Printing support service nec,1612,Printing Support Services
C161260,Printing trade service,1612,Printing Support Services
C161270,Screen printing positive manufacturing,1612,Printing Support Services
C161280,Typesetting and composing service,1612,Printing Support Services
C162010,"Audio tape, pre-recorded, manufacturing or publishing",1620,Reproduction of Recorded Media
C162020,Compact disc manufacturing or publishing,1620,Reproduction of Recorded Media
C162030,Computer tape or disks manufacturing or publishing - pre-recorded,1620,Reproduction of Recorded Media
C162040,Magnetic tape manufacturing - pre-recorded or publishing,1620,Reproduction of Recorded Media
C162050,Record - phonograph - manufacturing or publishing,1620,Reproduction of Recorded Media
C162060,Recorded media manufacturing and publishing,1620,Reproduction of Recorded Media
C162070,"Video tape, pre-recorded manufacturing or publishing",1620,Reproduction of Recorded Media
C170110,Gas or fuel oil manufacturing,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C170120,Gasoline refining or blending,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C170130,Liquefied petroleum gas manufacturing - refinery,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C170140,Petroleum refining,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C170150,Synthetic petrol manufacturing,1701,Petroleum Refining and Petroleum Fuel Manufacturing
C170910,Bituminous product manufacturing,1709,Other Petroleum and Coal Product Manufacturing
C170920,Coal product manufacturing nec,1709,Other Petroleum and Coal Product Manufacturing
C170930,Paving material manufacturing - except hot-mix,1709,Other Petroleum and Coal Product Manufacturing
C170940,Petroleum product manufacturing nec,1709,Other Petroleum and Coal Product Manufacturing
C170950,Recovery of lubricating oil or grease from used petroleum products,1709,Other Petroleum and Coal Product Manufacturing
C170960,Roofing manufacturing - bitumen or asphalt,1709,Other Petroleum and Coal Product Manufacturing
C181110,Acetylene gas manufacturing,1811,Industrial Gas Manufacturing
C181120,Dry ice manufacturing,1811,Industrial Gas Manufacturing
C181130,Gas manufacturing - industrial,1811,Industrial Gas Manufacturing
C181140,Industrial gas manufacturing,1811,Industrial Gas Manufacturing
C181150,Medical gas manufacturing nec,1811,Industrial Gas Manufacturing
C181210,Dyes manufacturing - organic,1812,Basic Organic Chemical Manufacturing
C181220,Industrial chemical manufacturing - organic nec,1812,Basic Organic Chemical Manufacturing
C181230,Organic industrial chemical manufacturing nec,1812,Basic Organic Chemical Manufacturing
C181310,Ammonia manufacturing,1813,Basic Inorganic Chemical Manufacturing
C181320,Chlorine manufacturing,1813,Basic Inorganic Chemical Manufacturing
C181330,Dyes manufacturing - inorganic,1813,Basic Inorganic Chemical Manufacturing
C181340,Industrial chemical manufacturing - inorganic nec,1813,Basic Inorganic Chemical Manufacturing
C181350,Salt refining - except cooking or table salt,1813,Basic Inorganic Chemical Manufacturing
C182110,Rubber recycling,1821,Synthetic Resin and Synthetic Rubber Manufacturing
C182120,Silicone manufacturing,1821,Synthetic Resin and Synthetic Rubber Manufacturing
C182130,Synthetic resin manufacturing,1821,Synthetic Resin and Synthetic Rubber Manufacturing
C182140,Synthetic rubber manufacturing,1821,Synthetic Resin and Synthetic Rubber Manufacturing
